SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
101051 1 3 2 1 1 3 3 1 1 1 1 1 2 2 1 1 1 13211331111122111 1 0.5 0.5 0.8516 0.1484
101052 2 1 1 3 3 3 3 1 1 2 4 1 1 1 2 2 1 21133331124111221 1 0.5 0.5 0 1
101053 2 1 2 3 3 1 2 1 1 2 3 1 1 1 2 1 1 21233121123111211 1 0.5 0.5 0.4283 0.5717
101054 1 1 1 2 2 4 3 1 1 2 3 1 1 1 2 1 1 11122431123111211 1 0.5 0.5 0.6336 0.3664
101055 2 1 1 3 3 4 3 1 1 2 1 2 1 1 2 1 1 21133431121211211 1 0.5 0.5 0 1
101056 3 1 2 3 3 4 2 1 1 2 2 1 1 1 2 1 1 31233421122111211 1 0.5 0.5 0.2988 0.7012
101057 2 1 3 3 3 4 4 1 1 2 1 1 1 1 2 1 1 21333441121111211 1 0.5 0.5 0 1
101058 3 1 1 1 1 4 2 1 1 1 1 1 1 1 2 2 1 31111421111111221 1 0.5 0.5 0.6711 0.3289
101059 3 1 1 4 4 4 4 1 1 1 1 2 1 1 2 2 1 31144441111211221 1 0.5 0.5 0 1
101060 2 2 1 4 3 4 4 1 1 1 1 2 1 1 2 2 1 22143441111211221 1 0.5 0.5 0 1
101061 1 1 1 3 3 3 3 1 1 2 2 1 1 1 2 1 1 11133331122111211 2 0.5 0.5 0.0333 0.9667
101062 3 1 1 3 3 3 3 1 2 2 2 2 1 1 2 1 1 31133331222211211 1 0.5 0.5 0 1
101063 2 1 2 2 2 3 2 1 1 1 2 1 1 1 2 1 1 21222321112111211 1 0.5 0.5 0.7539 0.2461
101064 1 1 3 3 1 2 3 1 1 2 1 1 1 3 2 1 1 11331231121113211 1 0.5 0.5 0.3672 0.6328
101065 1 1 1 3 3 3 3 1 1 2 2 1 1 1 2 1 1 11133331122111211 2 0.5 0.5 0.0333 0.9667
101066 3 1 2 3 3 2 4 1 1 2 2 1 1 3 2 2 1 31233241122113221 1 0.5 0.5 0.0649 0.9351
101067 3 1 1 3 3 4 4 1 1 1 2 2 1 1 2 1 1 31133441112211211 1 0.5 0.5 0 1
101068 2 1 1 3 3 4 3 1 1 2 1 1 1 1 2 1 1 21133431121111211 1 0.5 0.5 0 1
101069 1 1 2 1 1 4 3 1 1 1 1 1 1 1 2 1 1 11211431111111211 1 0.5 0.5 0.6157 0.3843
101070 2 1 2 1 1 4 3 1 2 1 2 2 1 1 2 1 1 21211431212211211 1 0.5 0.5 0.4789 0.5211
101071 3 1 1 3 3 2 4 1 1 2 1 2 1 1 2 1 1 31133241121211211 1 0.5 0.5 0 1
101072 3 1 1 1 1 4 4 1 1 1 1 1 1 1 2 1 1 31111441111111211 1 0.5 0.5 0.4318 0.5682
101073 3 1 2 1 1 4 2 1 1 2 1 2 1 1 2 1 1 31211421121211211 1 0.5 0.5 0.524 0.476
101074 1 1 2 1 1 2 2 1 1 1 3 1 1 1 2 2 1 11211221113111221 1 0.5 0.5 0.8366 0.1634
101075 2 1 2 1 1 4 3 1 1 2 2 1 1 1 2 1 1 21211431122111211 3 0.5 0.5 0.6259 0.3741
101076 2 1 2 1 1 4 3 1 1 2 2 1 1 1 2 1 1 21211431122111211 3 0.5 0.5 0.6259 0.3741
101077 2 1 2 1 1 3 4 1 2 2 1 2 1 1 2 1 1 21211341221211211 1 0.5 0.5 0.4412 0.5588
101078 3 1 2 1 1 2 3 1 1 2 2 1 1 1 2 1 1 31211231122111211 1 0.5 0.5 0.6885 0.3115
101079 3 1 1 3 3 4 2 1 2 1 2 1 1 1 2 1 1 31133421212111211 1 0.5 0.5 0.3225 0.6775
101080 2 1 2 1 1 2 2 1 1 1 2 1 1 1 2 1 1 21211221112111211 1 0.5 0.5 0.791 0.209
101081 3 1 1 3 3 4 3 1 1 2 1 1 1 1 2 1 1 31133431121111211 1 0.5 0.5 0 1
101082 2 1 1 3 3 4 3 1 2 2 3 1 1 1 2 1 1 21133431223111211 1 0.5 0.5 0.1567 0.8433
101083 2 2 2 4 2 2 4 1 1 1 3 2 1 1 2 2 1 22242241113211221 1 0.5 0.5 0 1
101084 1 2 3 4 3 3 4 1 1 1 1 2 1 1 2 2 1 12343341111211221 1 0.5 0.5 0 1
101085 2 2 2 4 3 2 4 1 1 1 2 2 1 1 2 2 1 22243241112211221 1 0.5 0.5 0 1
101086 1 1 3 3 2 2 2 1 1 2 3 1 1 1 2 1 1 11332221123111211 1 0.5 0.5 0.5035 0.4965
